id,price,currency,latitude,longitude,sq_meters,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,floor,rooftop,elevator,doorman,pool,ac,heating,year_built,quality,city,neighborhood,dist_city_center,furniture,garage,property_type,garden,closest_station,dist_closest_station,created_at,last_seen
94984323,330000, €,41.3916859,2.1431258,60.0,65,0,1,,,1.0, sur,1.0,,1.0,,,1.0,gas,1975.0,2,Barcelona,L'Antiga Esquerra de l'Eixample,2.275227074,,,estudio,,Hospital Clínic,0.746938142,8/30/2021 12:17,8/30/2021 12:17
94984431,360000, €,41.3840638,2.1748262,75.0,91,1,1,1.0,,1.0, oeste,,,,,,1.0,individual,,2,Barcelona,El Gòtic,0.591363194,,,piso,,Jaume I,0.309301461,8/30/2021 12:17,8/30/2021 12:17
94984492,195000, €,41.4171483,2.2045932,62.0,68,3,1,,,,,,,1.0,,,,,,2,Barcelona,La Verneda i la Pau,4.353430501,,,piso,,Sant Martí,0.386716152,8/30/2021 12:17,8/30/2021 12:17
94984493,193000, €,41.4374608,2.1806706,63.0,69,3,2,,,,,,,1.0,,,,,,2,Barcelona,La Prosperitat,5.585108916,,,piso,,Llucmajor,0.61328398,8/30/2021 12:17,8/30/2021 12:17
94984494,349000, €,41.3933266,2.1789165,78.0,86,3,1,1.0,,1.0, oeste,5.0,,1.0,,,,,,2,Barcelona,El Fort Pienc,0.963289512,,,piso,,Arc de Triomf,0.21752431,8/30/2021 12:17,8/30/2021 12:17
94984773,79900, €,41.4472679,2.1817842,,48,2,1,,,,,,,0.0,,,,,1963.0,2,Barcelona,La Trinitat Nova,6.677223511,,,piso,,Trinitat Nova,0.291445713,8/30/2021 12:17,10/4/2021 10:04
94984799,715000, €,41.3993781,2.1712138,,134,4,2,,,1.0, oeste,3.0,,1.0,,,1.0,individual,,2,Barcelona,Eixample,1.281263503,,,piso,,Verdaguer,0.250788467,8/30/2021 12:17,8/30/2021 12:17
94984917,340000, €,41.3807421,2.1621319,86.0,92,2,1,,,,,,,,,,,,,2,Barcelona,Ciutat Vella,1.027779682,,,piso,,Sant Antoni,0.137110129,8/30/2021 12:17,8/30/2021 12:17
94984987,550000, €,41.4018608,2.1719687,,131,4,2,1.0,1.0,1.0, este,1.0,,0.0,,,1.0,gas,,2,Barcelona,Eixample,1.562238419,,,piso,,Sagrada Família,0.353888032,8/30/2021 12:17,8/30/2021 12:17
94985086,164000, €,41.4236171,2.2135095,60.0,76,3,1,,,1.0, este,2.0,,1.0,,,1.0,gas,1963.0,2,Barcelona,La Verneda i la Pau,5.385882735,,,piso,,Besòs,0.498524023,8/30/2021 12:17,8/30/2021 12:17
